Protein ID,Protein names,Gene names,dirsign,BCC count,BCC proportion,BCC mean,BCC std,SCC count,SCC proportion,SCC mean,SCC std,ratio,Proportion_Test STAT,Proportion_Test Pvalue,HG_Test Pvalue,Wilcoxon STAT,Wilcoxon Pvalue
P02768, Serum albumin,ALB,DOWN,60.0,1.0,87019759166.66667,94392403916.11357,63.0,1.0,70872671222.22223,76182331946.27257,1.2278323600053824,0.0,1.0,1.0,0.8146287937978793,0.415284823495229
P02452, Collagen alpha-1(I) chain,COL1A1,UP,59.0,0.9833333333333333,1089451891.6666667,2872077931.8704557,61.0,0.9682539682539683,234017265.23809522,315499183.8426769,4.655433822620866,0.5419138630083499,0.5878778461994884,0.518440557661233,1.9379057641278745,0.05263472060873438
P02533," Keratin, type I cytoskeletal 14",KRT14,DOWN,60.0,1.0,13787801833.333334,14838636626.433989,63.0,1.0,24178825031.746033,38478734879.16757,0.570242839146666,0.0,1.0,1.0,-0.8045091814525641,0.4211029689549818
P13647," Keratin, type II cytoskeletal 5",KRT5,DOWN,60.0,1.0,11152668833.333334,14042458400.30122,63.0,1.0,9345635333.333334,12085109548.198765,1.1933558752880935,0.0,1.0,1.0,0.7943895691072489,0.42696867473816824
P63261," Actin, cytoplasmic 2",ACTG1,DOWN,60.0,1.0,27863462156.666668,33354952225.466553,63.0,1.0,25974164349.20635,35566465114.59833,1.072737578081816,0.0,1.0,1.0,0.6375355777548621,0.5237760432803329
P08123, Collagen alpha-2(I) chain,COL1A2,UP,48.0,0.8,540557035.0,1340594871.10963,37.0,0.5873015873015873,99378493.65079366,228148229.29448426,5.439376419806329,2.5518870228257944,0.010714125459363226,0.008841154677147288,3.7189575369033623,0.00020004667444517736
P49327, Fatty acid synthase,FASN,UP,54.0,0.9,600031700.0,1727898228.586234,55.0,0.873015873015873,705186339.8412699,2603637885.6199007,0.850883895645314,0.47100938510158485,0.6376340328802272,0.42689372262356684,1.3863868913081923,0.16562879704264444
P13645," Keratin, type I cytoskeletal 10",KRT10,UP,49.0,0.8166666666666667,10020444525.0,9633770521.617506,39.0,0.6190476190476191,5211059952.380953,10109390071.715153,1.9229186799936204,2.4280179850666364,0.015181590405752031,0.012454669511501277,3.683538893694759,0.0002300181685824235
P02538," Keratin, type II cytoskeletal 6A",KRT6A,DOWN,60.0,1.0,6846609266.666667,11223924475.146624,63.0,1.0,19621667631.746033,42054453125.65457,0.3489310590293299,0.0,1.0,1.0,-1.4673437900707145,0.14228255705446988
P04264," Keratin, type II cytoskeletal 1",KRT1,DOWN,60.0,1.0,24120908333.333332,27097086079.52333,63.0,1.0,20730185587.301586,20871801855.017487,1.1635645147387756,0.0,1.0,1.0,1.4471045653800838,0.14786763957721089
Q04695," Keratin, type I cytoskeletal 17",KRT17,DOWN,60.0,1.0,2478119605.0,4117487589.273091,63.0,1.0,3122470007.9365077,7209821643.522269,0.7936408031786578,0.0,1.0,1.0,-0.1568539913523867,0.8753599204970774
P06702, Protein S100-A9,S100A9,DOWN,60.0,1.0,5588449503.333333,8483577324.40822,63.0,1.0,11727006342.222221,15196794534.04239,0.47654527850066325,0.0,1.0,1.0,-1.7152742925309385,0.0862949495070949
P01857, Immunoglobulin heavy constant gamma 1,IGHG1,UP,60.0,1.0,12857218529.666666,15465161478.21382,60.0,0.9523809523809523,12826907403.174603,14965143654.22084,1.002363089210776,1.7113069358158497,0.08702446666618918,0.13122354364039507,0.04553825555391872,0.9636782829901054
P07355, Annexin A2; Putative annexin A2-like protein,ANXA2;ANXA2P2,UP,58.0,0.9666666666666667,2060194498.3333333,2935461675.3486505,60.0,0.9523809523809523,2548272862.5396824,4422370886.512118,0.8084669929263713,0.40102773539003445,0.688399703971349,0.5232400962803989,0.20239224690630545,0.8396100890598713
P05109, Protein S100-A8,S100A8,DOWN,56.0,0.9333333333333333,3489128921.6666665,5993284146.653848,61.0,0.9682539682539683,8186559051.428572,12849074442.33302,0.4262021320249081,-0.8986943905753537,0.3688154656917907,0.31686566987206083,-1.4825232085886872,0.13820113290523192
Q09666, Neuroblast differentiation-associated protein AHNAK,AHNAK,UP,60.0,1.0,2457472417.6666665,4295113145.126588,61.0,0.9682539682539683,2219267641.5873017,4338625437.89247,1.107334857506863,1.3914904141276763,0.1640767644601807,0.2602958816473411,1.082798520948734,0.27889786220400803
P08670, Vimentin,VIM,UP,60.0,1.0,7404374731.666667,12876105478.197445,58.0,0.9206349206349206,4329065884.126985,10693008445.195515,1.7103862426339258,2.2279318632779614,0.025885059006724172,0.03253020619656853,2.793013007307015,0.005221959210423731
P35579, Myosin-9,MYH9,UP,60.0,1.0,3555325162.1666665,8704411774.484102,60.0,0.9523809523809523,2575375516.6666665,5128943804.906127,1.3805074790678908,1.7113069358158497,0.08702446666618918,0.13122354364039507,1.097977939466707,0.2722141224091027
P04406, Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,UP,60.0,1.0,4223030938.5,7623874969.141396,62.0,0.9841269841269841,4359140161.587301,5786748924.207387,0.9687761306033024,0.9798915009479252,0.32713967869426297,0.5121951219512195,-0.31876778887743107,0.7499026057609786
P02461, Collagen alpha-1(III) chain,COL3A1,UP,49.0,0.8166666666666667,212140784.0,729928487.2096801,48.0,0.7619047619047619,32872634.444444444,52106897.91399066,6.453415966965563,0.7435402106559904,0.45715468618198707,0.3011829537792004,1.8797179931423118,0.060146522017893875
P68871, Hemoglobin subunit beta,HBB,UP,60.0,1.0,39898242143.333336,58652846011.733025,62.0,0.9841269841269841,29849774054.920635,54979538697.7391,1.3366346448694892,0.9798915009479252,0.32713967869426297,0.5121951219512195,1.153635807365941,0.24864951163387683
P23527, Histone H2B type 1-O,H2BC17,UP,48.0,0.8,1562534333.3333333,3440918157.749654,38.0,0.6031746031746031,291978228.5714286,662120760.3256596,5.351543986612961,2.379192070234461,0.017350632697216765,0.01408122023879821,3.142139633220392,0.0016771803026977325
P02787, Serotransferrin,TF,UP,58.0,0.9666666666666667,19241236118.333332,25868629464.128284,60.0,0.9523809523809523,20361340355.079365,31545682559.289253,0.9449886786816266,0.40102773539003445,0.688399703971349,0.5232400962803989,0.20239224690630545,0.8396100890598713
P15924, Desmoplakin,DSP,UP,60.0,1.0,2084881485.6666667,2790994342.848243,62.0,0.9841269841269841,2609974796.825397,5300817394.517538,0.7988128805697973,0.9798915009479252,0.32713967869426297,0.5121951219512195,0.9613631728049509,0.33636959441656056
P08779," Keratin, type I cytoskeletal 16",KRT16,DOWN,60.0,1.0,2314001816.6666665,3803841286.025095,63.0,1.0,6037510431.746032,13996240477.592607,0.3832708602041228,0.0,1.0,1.0,-1.1839946444018867,0.2364151828396912
P68104, Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,UP,59.0,0.9833333333333333,3360093125.0,5059423743.146576,61.0,0.9682539682539683,2646799523.8095236,4214201673.066163,1.2694928704550457,0.5419138630083499,0.5878778461994884,0.518440557661233,0.5768179036829705,0.5640624737376693
P31947, 14-3-3 protein sigma,SFN,UP,57.0,0.95,1855801771.6666667,3306701327.9407015,57.0,0.9047619047619048,2945720030.15873,5413280499.341821,0.6299993728754552,0.9630062057852747,0.33554440897236193,0.27055950837147497,-0.8449876308338252,0.39811774516449594
P51884, Lumican,LUM,UP,60.0,1.0,478390978.0,658562649.3429112,55.0,0.873015873015873,562923469.8412699,1077779125.6033697,0.8498330654696172,2.854657303947597,0.004308328998323205,0.0037605540409766315,1.988503825854451,0.046755996301243614
P06733, Alpha-enolase,ENO1,UP,59.0,0.9833333333333333,5960105782.0,8709164129.364288,61.0,0.9682539682539683,7291564302.222222,11162055912.051233,0.8173974108935117,0.5419138630083499,0.5878778461994884,0.518440557661233,-0.3390070135680616,0.7346044466380136
P07585, Decorin,DCN,UP,55.0,0.9166666666666666,149298319.66666666,323370130.84568065,46.0,0.7301587301587301,174562332.06349206,615367869.7466106,0.8552722566307356,2.6978869381094635,0.0069781136033064866,0.006132109803107793,1.6722659400633486,0.0944718927899011
P11142, Heat shock cognate 71 kDa protein,HSPA8,UP,58.0,0.9666666666666667,3165630880.0,4189087846.4770527,58.0,0.9206349206349206,3206535322.0634923,5432046293.3270645,0.9872434144785378,1.1014832300686437,0.2706863992392671,0.2403502979347508,0.43008352467589905,0.6671348841608729
