GeneID,Symbol,Description,dirsign,BCC count,BCC proportion,SCC count,SCC proportion,Proportion_Test Rank,HG_Test Rank,StudentT Rank,Minimal Rank
100287102,DDX11L1,DEAD/H-box helicase 11 like 1 (pseudogene),DOWN,12.0,0.48,5.0,0.5,8380.0,7128.0,20777.0,7128.0
653635,WASH7P,"WASP family homolog 7, pseudogene",DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,3112.0,3112.0
102466751,MIR6859-1,microRNA 6859-1,UP,21.0,0.84,5.0,0.5,2038.0,1740.0,10460.0,1740.0
107985730,MIR1302-2HG,MIR1302-2 host gene,UP,10.0,0.4,1.0,0.1,2464.0,2469.0,14156.0,2464.0
100302278,MIR1302-2,microRNA 1302-2,DOWN,0.0,0.0,0.0,0.0,8415.0,8520.0,,8415.0
645520,FAM138A,family with sequence similarity 138 member A,UP,8.0,0.32,1.0,0.1,3971.0,3124.0,16117.0,3124.0
79501,OR4F5,olfactory receptor family 4 subfamily F member 5,DOWN,0.0,0.0,0.0,0.0,8415.0,8520.0,,8415.0
102725121,DDX11L17,DEAD/H-box helicase 11 like 17 (pseudogene),DOWN,10.0,0.4,6.0,0.6,4763.0,3708.0,12170.0,3708.0
102723897,WASH9P,"WAS protein family homolog 9, pseudogene",DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,4641.0,4641.0
102465909,MIR6859-2,microRNA 6859-2,UP,21.0,0.84,5.0,0.5,2038.0,1740.0,11122.0,1740.0
729759,OR4F29,olfactory receptor family 4 subfamily F member 29,DOWN,0.0,0.0,0.0,0.0,8415.0,8520.0,,8415.0
113219467,MIR12136,microRNA 12136,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,14522.0,8415.0
81399,OR4F16,olfactory receptor family 4 subfamily F member 16,UP,21.0,0.84,6.0,0.6,3533.0,2847.0,11855.0,2847.0
400728,FAM87B,family with sequence similarity 87 member B,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,21592.0,8415.0
284593,FAM41C,family with sequence similarity 41 member C,UP,25.0,1.0,5.0,0.5,292.0,366.0,382.0,292.0
148398,SAMD11,sterile alpha motif domain containing 11,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,9632.0,8415.0
26155,NOC2L,NOC2 like nucleolar associated transcriptional repressor,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,14591.0,8415.0
339451,KLHL17,kelch like family member 17,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,17943.0,8415.0
84069,PLEKHN1,pleckstrin homology domain containing N1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,9204.0,8415.0
84808,PERM1,"PPARGC1 and ESRR induced regulator, muscle 1",DOWN,24.0,0.96,10.0,1.0,6236.0,7696.0,18947.0,6236.0
57801,HES4,hes family bHLH transcription factor 4,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,9886.0,8415.0
9636,ISG15,ISG15 ubiquitin like modifier,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,6674.0,6674.0
375790,AGRN,agrin,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,18104.0,8415.0
401934,RNF223,ring finger protein 223,DOWN,21.0,0.84,10.0,1.0,4034.0,3562.0,5610.0,3562.0
406984,MIR200B,microRNA 200b,DOWN,0.0,0.0,0.0,0.0,8415.0,8520.0,,8415.0
406983,MIR200A,microRNA 200a,UP,7.0,0.28,1.0,0.1,4480.0,3774.0,16871.0,3774.0
554210,MIR429,microRNA 429,UP,7.0,0.28,0.0,0.0,2299.0,1963.0,14053.0,1963.0
100506376,TTLL10-AS1,TTLL10 antisense RNA 1,UP,17.0,0.68,2.0,0.2,1232.0,1021.0,12422.0,1021.0
254173,TTLL10,tubulin tyrosine ligase like 10,UP,23.0,0.92,8.0,0.8,4808.0,4879.0,12214.0,4808.0
8784,TNFRSF18,TNF receptor superfamily member 18,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,11211.0,8415.0
7293,TNFRSF4,TNF receptor superfamily member 4,DOWN,24.0,0.96,10.0,1.0,6236.0,7696.0,19758.0,6236.0
51150,SDF4,stromal cell derived factor 4,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,18237.0,8415.0
126792,B3GALT6,"beta-1,3-galactosyltransferase 6",DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,3730.0,3730.0
388581,C1QTNF12,C1q and TNF related 12,UP,24.0,0.96,6.0,0.6,1117.0,1141.0,16107.0,1117.0
118424,UBE2J2,ubiquitin conjugating enzyme E2 J2,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,20395.0,8415.0
6339,SCNN1D,sodium channel epithelial 1 subunit delta,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,15767.0,8415.0
116983,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,22470.0,8415.0
102465434,MIR6726,microRNA 6726,DOWN,0.0,0.0,0.0,0.0,8415.0,8520.0,,8415.0
109623456,SNORD167,"small nucleolar RNA, C/D box 167",DOWN,12.0,0.48,5.0,0.5,8380.0,7128.0,22563.0,7128.0
126789,PUSL1,pseudouridine synthase like 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,17109.0,8415.0
54973,INTS11,integrator complex subunit 11,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,6235.0,6235.0
102465435,MIR6727,microRNA 6727,UP,3.0,0.12,0.0,0.0,4480.0,5128.0,17148.0,4480.0
80772,CPTP,ceramide-1-phosphate transfer protein,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,22457.0,8415.0
83756,TAS1R3,taste 1 receptor member 3,UP,25.0,1.0,9.0,0.9,2891.0,4101.0,11826.0,2891.0
1855,DVL1,dishevelled segment polarity protein 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,20354.0,8415.0
102466740,MIR6808,microRNA 6808,DOWN,0.0,0.0,0.0,0.0,8415.0,8520.0,,8415.0
54587,MXRA8,matrix remodeling associated 8,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,785.0,785.0
54998,AURKAIP1,aurora kinase A interacting protein 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,21810.0,8415.0
81669,CCNL2,cyclin L2,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,3261.0,3261.0
148413,MRPL20-AS1,MRPL20 antisense RNA 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,3215.0,3215.0
55052,MRPL20,mitochondrial ribosomal protein L20,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,17119.0,8415.0
441869,ANKRD65,ankyrin repeat domain 65,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,19360.0,8415.0
105378585,ANKRD65-AS1,ANKRD65 antisense RNA 1,UP,21.0,0.84,5.0,0.5,2038.0,1740.0,11746.0,1740.0
643965,TMEM88B,transmembrane protein 88B,DOWN,1.0,0.04,2.0,0.2,3533.0,3295.0,13827.0,3295.0
64856,VWA1,von Willebrand factor A domain containing 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,22626.0,8415.0
219293,ATAD3C,ATPase family AAA domain containing 3C,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,18917.0,8415.0
83858,ATAD3B,ATPase family AAA domain containing 3B,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,17388.0,8415.0
55210,ATAD3A,ATPase family AAA domain containing 3A,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,22636.0,8415.0
339453,TMEM240,transmembrane protein 240,UP,25.0,1.0,1.0,0.1,10.0,10.0,112.0,10.0
29101,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase",DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,14229.0,8415.0
643988,FNDC10,fibronectin type III domain containing 10,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,15960.0,8415.0
142678,MIB2,MIB E3 ubiquitin protein ligase 2,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,10125.0,8415.0
8510,MMP23B,matrix metallopeptidase 23B,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,7803.0,7803.0
984,CDK11B,cyclin dependent kinase 11B,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,10810.0,8415.0
728661,SLC35E2B,solute carrier family 35 member E2B,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,1054.0,1054.0
8511,MMP23A,matrix metallopeptidase 23A (pseudogene),UP,24.0,0.96,7.0,0.7,1902.0,1854.0,8811.0,1854.0
728642,CDK11A,cyclin dependent kinase 11A,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,6298.0,6298.0
9906,SLC35E2A,solute carrier family 35 member E2A,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,776.0,776.0
65220,NADK,NAD kinase,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,16956.0,8415.0
2782,GNB1,G protein subunit beta 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,4287.0,4287.0
105378949,GNB1-DT,GNB1 divergent transcript,UP,15.0,0.6,5.0,0.5,7289.0,5561.0,20462.0,5561.0
163688,CALML6,calmodulin like 6,UP,24.0,0.96,9.0,0.9,6085.0,6124.0,11087.0,6085.0
339456,TMEM52,transmembrane protein 52,DOWN,16.0,0.64,7.0,0.7,7685.0,6779.0,20348.0,6779.0
85452,CFAP74,cilia and flagella associated protein 74,UP,17.0,0.68,5.0,0.5,4926.0,3834.0,21333.0,3834.0
2563,GABRD,gamma-aminobutyric acid type A receptor subunit delta,DOWN,24.0,0.96,10.0,1.0,6236.0,7696.0,11761.0,6236.0
105378591,PRKCZ-DT,PRKCZ divergent transcript,DOWN,0.0,0.0,0.0,0.0,8415.0,8520.0,,8415.0
5590,PRKCZ,protein kinase C zeta,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,4620.0,4620.0
100506504,PRKCZ-AS1,PRKCZ antisense RNA 1,UP,25.0,1.0,9.0,0.9,2891.0,4101.0,2587.0,2587.0
199990,FAAP20,FA core complex associated protein 20,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,12757.0,8415.0
6497,SKI,SKI proto-oncogene,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,955.0,955.0
79906,MORN1,MORN repeat containing 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,4059.0,4059.0
11079,RER1,retention in endoplasmic reticulum sorting receptor 1,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,8231.0,8231.0
5192,PEX10,peroxisomal biogenesis factor 10,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,7276.0,7276.0
9651,PLCH2,phospholipase C eta 2,DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,22350.0,8415.0
55229,PANK4,pantothenate kinase 4 (inactive),DOWN,25.0,1.0,10.0,1.0,8415.0,8520.0,5602.0,5602.0
