Protein ID,Protein names,Gene names,dirsign,BCC count,BCC proportion,SCC count,SCC proportion,Proportion_Test Rank,HG_Test Rank,Wilcoxon Rank,Minimal Rank
P02768, Serum albumin,ALB,DOWN,60.0,1.0,63.0,1.0,6824.0,6826.5,2840.0,2840.0
P02452, Collagen alpha-1(I) chain,COL1A1,UP,59.0,0.9833333333333333,61.0,0.9682539682539683,5221.0,5858.0,695.0,695.0
P02533," Keratin, type I cytoskeletal 14",KRT14,DOWN,60.0,1.0,63.0,1.0,6824.0,6826.5,2875.5,2875.5
P13647," Keratin, type II cytoskeletal 5",KRT5,DOWN,60.0,1.0,63.0,1.0,6824.0,6826.5,2929.5,2929.5
P63261," Actin, cytoplasmic 2",ACTG1,DOWN,60.0,1.0,63.0,1.0,6824.0,6826.5,3401.5,3401.5
P08123, Collagen alpha-2(I) chain,COL1A2,UP,48.0,0.8,37.0,0.5873015873015873,604.0,559.0,16.0,16.0
P49327, Fatty acid synthase,FASN,UP,54.0,0.9,55.0,0.873015873015873,5336.5,4932.0,1485.0,1485.0
P13645," Keratin, type I cytoskeletal 10",KRT10,UP,49.0,0.8166666666666667,39.0,0.6190476190476191,770.5,719.5,19.0,19.0
P02538," Keratin, type II cytoskeletal 6A",KRT6A,DOWN,60.0,1.0,63.0,1.0,6824.0,6826.5,1324.0,1324.0
P04264," Keratin, type II cytoskeletal 1",KRT1,DOWN,60.0,1.0,63.0,1.0,6824.0,6826.5,1370.5,1370.5
Q04695," Keratin, type I cytoskeletal 17",KRT17,DOWN,60.0,1.0,63.0,1.0,6824.0,6826.5,5664.0,5664.0
P06702, Protein S100-A9,S100A9,DOWN,60.0,1.0,63.0,1.0,6824.0,6826.5,957.5,957.5
P01857, Immunoglobulin heavy constant gamma 1,IGHG1,UP,60.0,1.0,60.0,0.9523809523809523,2033.5,2608.5,6269.0,2033.5
P07355, Annexin A2; Putative annexin A2-like protein,ANXA2;ANXA2P2,UP,58.0,0.9666666666666667,60.0,0.9523809523809523,5473.0,5963.0,5279.0,5279.0
P05109, Protein S100-A8,S100A8,DOWN,56.0,0.9333333333333333,61.0,0.9682539682539683,4328.0,4206.0,1298.0,1298.0
Q09666, Neuroblast differentiation-associated protein AHNAK,AHNAK,UP,60.0,1.0,61.0,0.9682539682539683,2768.0,3780.5,2105.5,2105.5
P08670, Vimentin,VIM,UP,60.0,1.0,58.0,0.9206349206349206,1092.0,1325.0,163.5,163.5
P35579, Myosin-9,MYH9,UP,60.0,1.0,60.0,0.9523809523809523,2033.5,2608.5,2074.0,2033.5
P04406, Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,UP,60.0,1.0,62.0,0.9841269841269841,3824.0,5725.0,4716.5,3824.0
P02461, Collagen alpha-1(III) chain,COL3A1,UP,49.0,0.8166666666666667,48.0,0.7619047619047619,4664.0,4157.0,754.0,754.0
P68871, Hemoglobin subunit beta,HBB,UP,60.0,1.0,62.0,0.9841269841269841,3824.0,5725.0,1952.0,1952.0
P23527, Histone H2B type 1-O,H2BC17,UP,48.0,0.8,38.0,0.6031746031746031,826.5,796.5,69.0,69.0
P02787, Serotransferrin,TF,UP,58.0,0.9666666666666667,60.0,0.9523809523809523,5473.0,5963.0,5279.0,5279.0
P15924, Desmoplakin,DSP,UP,60.0,1.0,62.0,0.9841269841269841,3824.0,5725.0,2411.5,2411.5
P08779," Keratin, type I cytoskeletal 16",KRT16,DOWN,60.0,1.0,63.0,1.0,6824.0,6826.5,1887.5,1887.5
P68104, Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,UP,59.0,0.9833333333333333,61.0,0.9682539682539683,5221.0,5858.0,3665.0,3665.0
P31947, 14-3-3 protein sigma,SFN,UP,57.0,0.95,57.0,0.9047619047619048,4163.5,3912.0,2737.5,2737.5
P51884, Lumican,LUM,UP,60.0,1.0,55.0,0.873015873015873,324.0,317.0,634.5,317.0
P06733, Alpha-enolase,ENO1,UP,59.0,0.9833333333333333,61.0,0.9682539682539683,5221.0,5858.0,4556.5,4556.5
P07585, Decorin,DCN,UP,55.0,0.9166666666666666,46.0,0.7301587301587301,447.0,436.0,1018.5,436.0
P11142, Heat shock cognate 71 kDa protein,HSPA8,UP,58.0,0.9666666666666667,58.0,0.9206349206349206,3438.5,3605.0,4289.5,3438.5
P12111, Collagen alpha-3(VI) chain,COL6A3,DOWN,56.0,0.9333333333333333,59.0,0.9365079365079365,6275.0,6361.5,3544.5,3544.5
